PID,Name,User,CPU Time,Memory [GB],Status
27109,kworker/u16:2-btrfs-endio,root,0.0,0.0,idle
27181,kworker/6:0-events,root,0.0,0.0,idle
27237,kworker/5:1,root,0.0,0.0,idle
27284,Web Content,alejo,0.2,0.08,sleeping
27292,Web Content,alejo,0.2,0.08,sleeping
27384,kworker/u16:3-phy0,root,0.0,0.0,idle
27559,kworker/4:0,root,0.0,0.0,idle
27560,kworker/7:1-events,root,0.0,0.0,idle
27577,kworker/0:1-kacpi_notify,root,0.0,0.0,idle
27609,kworker/u17:1+i915_flip,root,0.0,0.0,disk-sleep
27730,kworker/6:2-events,root,0.0,0.0,idle
27759,kworker/u16:7-events_unbound,root,0.0,0.0,idle
27760,Web Content,alejo,0.15,0.08,sleeping
27829,code,alejo,36.48,0.2,sleeping
27842,code,alejo,68.43,0.22,sleeping
27849,python,alejo,0.91,0.03,sleeping
27850,python,alejo,1.55,0.04,sleeping
27872,kworker/u16:8-btrfs-delalloc,root,0.0,0.0,idle
27987,kworker/3:2-mm_percpu_wq,root,0.0,0.0,idle
27996,kworker/2:1,root,0.0,0.0,idle
27997,kworker/1:1-events,root,0.0,0.0,idle
28111,kworker/4:1-events,root,0.0,0.0,idle
28119,kworker/7:0,root,0.0,0.0,idle
28125,kworker/u17:0,root,0.0,0.0,idle
28216,systemd-userwork:,root,0.0,0.01,sleeping
28230,kworker/5:0-events,root,0.0,0.0,idle
28233,python,alejo,37.08,0.15,sleeping
28266,systemd-userwork:,root,0.0,0.01,sleeping
28337,systemd-userwork:,root,0.0,0.01,sleeping
28348,kworker/0:2-pm,root,0.0,0.0,idle
